City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
112,shenjiamen,29.9576,122.298,26.31,85,17,2.9,CN,1694991961
113,arteche,12.2645,125.4048,27.79,80,100,1.95,PH,1694991962
114,labrador city,52.9463,-66.9114,10.95,82,100,4.12,CA,1694991962
115,afaahiti,-17.75,-149.2833,27.93,87,74,4.91,PF,1694991963
116,uturoa,-16.7333,-151.4333,25.98,82,52,4.89,PF,1694991963
117,guarapari,-20.6667,-40.4975,23.27,87,0,5.65,BR,1694991963
118,mirnyy,62.5353,113.9611,0.13,80,100,4.92,RU,1694991963
119,port shepstone,-30.7414,30.455,15.49,59,3,2.6,ZA,1694991964
120,yuzhno-kurilsk,44.0306,145.8556,19.11,98,100,6.9,RU,1694991966
121,saint-philippe,-21.3585,55.7679,21.77,80,38,5.31,RE,1694991967
122,tolanaro,-25.0319,46.9987,22.04,83,0,3.09,MG,1694991967
123,kadi,23.3,72.3333,24.92,98,100,8.33,IN,1694991967
124,el kef,36.1742,8.7049,29.85,29,9,3.1,TN,1694991967
125,las khorey,11.1595,48.1967,32.62,54,56,1.84,SO,1694991968
126,utrik,11.2278,169.8474,28.66,80,100,8.1,MH,1694991968
127,inirida,3.8653,-67.9239,27.09,79,66,1.44,CO,1694991968
128,acajutla,13.5928,-89.8275,29.62,74,63,3.22,SV,1694991968
129,mogok,22.9167,96.5,19.05,100,100,1.04,MM,1694991969
130,east london,-33.0153,27.9116,13.42,62,0,2.63,ZA,1694991969
131,tsukumiura,33.0706,131.8572,25.71,86,24,0.47,JP,1694991971
132,luderitz,-26.6481,15.1594,15.26,57,0,8.14,NA,1694991972
133,colares,38.7992,-9.4469,19.31,79,96,4.47,PT,1694991972
134,lobujya,27.95,86.8167,0.88,86,97,0.72,NP,1694991972
135,sarno,40.8108,14.6198,25.94,91,27,0.19,IT,1694991972
136,posto fiscal rolim de moura,-13.0833,-62.2667,32.29,32,82,1.3,BR,1694991973
137,ceeldheer,3.8488,47.1806,24.49,85,89,6.86,SO,1694991973
138,seminole,28.7086,-81.2081,33.54,67,20,3.09,US,1694991805
139,columbiana,40.8884,-80.694,19.23,74,83,0.7,US,1694991975
140,brookings,44.3114,-96.7984,23.94,46,0,2.57,US,1694991975
141,tutoia,-2.7619,-42.2744,26.35,79,8,5.74,BR,1694991964
142,peterhead,57.5058,-1.7981,12.47,89,100,6.89,GB,1694991976
143,west end,26.6833,-78.9667,28.99,76,98,5.47,BS,1694991976
144,bonnyville,54.2668,-110.735,21.89,22,61,3.43,CA,1694991976
145,san luis de la loma,17.2706,-100.8939,29.3,68,100,1.93,MX,1694991977
146,berdigestyakh,62.0989,126.6992,2.02,97,100,1.86,RU,1694991977
147,karratha,-20.7377,116.8463,23.39,39,67,4.18,AU,1694991977
148,mount pearl,47.5166,-52.7813,20.19,82,20,7.72,CA,1694991977
149,olonkinbyen,70.9221,-8.7187,3.06,73,22,8.82,SJ,1694991977
150,katsuura,35.1333,140.3,27.24,81,2,5.86,JP,1694991978
151,jamai,22.2,78.5833,19.88,95,13,1.18,IN,1694991978
152,lompoc,34.6391,-120.4579,28.16,69,0,4.12,US,1694991978
153,ardakan,32.31,54.0175,23.97,27,0,3.26,IR,1694991978
154,saldanha,-33.0117,17.9442,8.03,80,0,4.41,ZA,1694991979
155,novaya igirma,57.1334,103.9112,7.29,96,58,1.69,RU,1694991979
156,mhamid,29.82,-5.72,23.89,52,28,2.17,MA,1694991979
157,iskateley,67.6803,53.1512,4.11,79,100,4.66,RU,1694991979
158,kone,-21.0595,164.8658,25.5,59,6,2.37,NC,1694991980
159,nova sintra,14.8667,-24.7167,22.95,74,17,4.54,CV,1694991980
160,boma,7.0805,-2.1697,22.06,99,97,1.02,GH,1694991834
161,vorgashor,67.5833,63.95,0.32,93,9,2.34,RU,1694991980
162,prince rupert,54.3161,-130.3201,13.83,84,100,9.77,CA,1694991980
163,acapulco de juarez,16.8634,-99.8901,31.9,58,75,2.06,MX,1694991798
164,gardner,42.5751,-71.9981,19.54,77,56,0.89,US,1694991981
165,lebu,-37.6167,-73.65,8.13,71,3,4.34,CL,1694991691
166,stanley,54.868,-1.6985,14.29,93,75,2.06,GB,1694991981
167,petropavlovsk-kamchatsky,53.0452,158.6483,12.33,44,20,4.0,RU,1694991982
168,puerto ayora,-0.7393,-90.3518,28.98,92,98,3.58,EC,1694991831
169,glace bay,46.1969,-59.957,17.72,91,75,6.69,CA,1694991982
170,havre,49.5833,0.3333,19.87,68,100,4.63,FR,1694991982
171,ciudad insurgentes,25.2625,-111.7753,33.62,23,1,7.73,MX,1694991982
172,hanceville,34.0607,-86.7675,26.97,49,18,2.0,US,1694991983
173,albany,42.6001,-73.9662,18.36,84,100,1.15,US,1694991787
174,sarupathar,26.1984,93.8094,25.04,95,96,0.19,IN,1694991983
175,crane,31.3974,-102.3501,29.57,34,21,2.71,US,1694991983
176,markovo,57.3206,107.0881,8.37,91,58,2.37,RU,1694991984
177,okhotsk,59.3833,143.3,7.95,56,2,5.65,RU,1694991984
178,nar'yan-mar,67.6713,53.087,4.2,79,100,4.71,RU,1694991984
179,garissa,-0.4536,39.6401,23.87,73,94,7.37,KE,1694991984
180,keflavik,64.0049,-22.5624,6.24,81,40,5.66,IS,1694991984
181,melendugno,40.2747,18.3368,21.14,73,5,3.76,IT,1694991985
182,al jawf,29.5,38.75,25.2,22,0,2.19,SA,1694991739
183,chuhar jamali,24.3895,67.9923,27.22,82,99,6.86,PK,1694991985
184,hawaiian paradise park,19.5933,-154.9731,28.74,76,40,3.6,US,1694991985
185,kolonia town,6.964,158.206,31.0,74,75,3.09,FM,1694991986
186,semirom,31.4167,51.5667,14.08,37,0,1.81,IR,1694991986
187,acarau,-2.8856,-40.12,26.03,81,9,7.62,BR,1694991986
188,tan-tan,28.438,-11.1032,21.02,84,21,6.84,MA,1694991986
189,colonia,50.9333,6.95,22.2,79,0,2.06,DE,1694991872
190,talnakh,69.4865,88.3972,5.67,70,100,5.33,RU,1694991987
191,qingdao,36.0986,120.3719,21.78,100,31,2.0,CN,1694991987
192,severobaykal'sk,55.65,109.3167,9.3,72,9,3.29,RU,1694991987
193,buka,40.8108,69.1986,16.36,37,1,1.99,UZ,1694991987
194,macenta,8.5435,-9.471,20.91,99,93,0.89,GN,1694991988
195,nadym,65.5333,72.5167,4.77,91,100,8.25,RU,1694991988
196,alofi,-19.0595,-169.9187,25.94,65,97,10.29,NU,1694991988
197,kloulklubed,7.0419,134.2556,28.18,71,100,1.91,PW,1694991989
